isoform	TGPBS1	TGPBS2	TGPBS3	TGPBS4	TGOva1	TGOva2	TGOva3	TGOva4
transcript5118.chr12.nic	4.8	0.12	0.0	4.58	0.0	0.12	0.0	2.03
transcript5141.chr12.nic	7.0	0.0	0.0	0.0	6.89	2.07	6.28	1.49
transcript2346.chr12.nnic	23.18	20.22	23.06	17.43	19.63	24.51	22.53	23.34
transcript2361.chr12.nnic	0.0	2.47	2.09	0.0	1.88	2.04	0.0	1.83
transcript2362.chr12.nnic	0.0	1.8	0.0	0.0	1.25	0.0	0.2	0.49
transcript2406.chr12.nic	1.11	0.0	0.0	1.06	2.17	1.08	0.0	1.43
transcript2407.chr12.nnic	0.0	0.0	0.0	1.01	0.25	1.05	1.63	0.0
transcript4807.chr12.nnic	0.48	1.14	2.23	1.02	1.26	1.39	0.89	0.75
transcript4918.chr12.nnic	0.0	2.01	0.83	0.0	2.38	0.34	1.76	0.51
transcript4932.chr12.nnic	1.67	3.08	2.33	2.71	1.83	2.16	2.38	3.18
transcript3364.chr12.nnic	14.98	6.59	12.05	17.56	8.76	18.48	4.38	9.32
transcript3602.chr12.nnic	8.62	10.15	7.19	8.86	6.57	8.18	9.3	7.17
transcript2803.chr12.nic	8.73	8.64	7.79	8.71	8.45	8.68	8.0	8.9
transcript2919.chr12.nnic	0.0	0.0	0.0	1.49	0.51	3.65	1.67	3.57
transcript3116.chr12.nic	0.8	3.46	3.94	0.66	3.65	0.46	1.78	0.63
transcript3117.chr12.nnic	4.27	0.9	0.0	5.42	0.0	3.4	1.22	3.6
transcript3215.chr12.nic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript5797.chr12.nic	2.93	3.5	4.13	4.44	3.64	3.62	3.7	2.85
transcript3679.chr12.nic	0.22	1.39	0.89	0.23	0.56	0.29	0.73	0.61
transcript3231.chr12.nic	7.39	7.7	9.21	6.54	7.07	7.84	8.97	8.25
transcript3908.chr12.nnic	0.59	1.14	0.74	2.85	4.08	3.3	1.34	1.17
transcript4026.chr12.nnic	0.84	1.95	1.55	0.0	1.96	2.11	4.95	0.59
transcript6952.chr12.nnic	53.39	55.75	65.21	51.53	60.35	46.93	44.92	52.78
transcript6960.chr12.nic	2.92	11.26	8.73	5.61	3.04	1.86	6.5	5.08
transcript129.chr13.nic	0.0	3.34	0.0	3.55	0.0	0.99	0.0	1.58
transcript139.chr13.nnic	0.83	1.75	4.34	3.39	0.49	1.83	3.09	0.29
transcript190.chr13.nic	12.54	9.93	22.43	13.53	12.84	12.73	4.59	13.33
transcript205.chr13.nic	0.0	2.49	0.0	0.0	0.0	2.34	0.0	2.8
transcript211.chr13.nic	0.0	0.0	4.18	11.0	0.26	0.0	1.3	2.09
transcript220.chr13.nic	0.0	0.0	0.0	0.0	4.57	0.0	0.0	0.0
transcript7155.chr12.nnic	0.66	1.2	2.65	1.72	1.02	1.18	1.66	1.88
transcript5243.chr12.nnic	3.66	4.75	5.7	3.26	4.74	6.39	4.39	5.39
transcript5300.chr12.nic	2.65	0.55	0.0	1.01	3.1	0.0	1.74	0.0
transcript5389.chr12.nnic	0.57	1.0	0.0	1.25	1.23	1.85	0.33	0.0
transcript5589.chr12.nnic	4.22	5.04	3.21	6.96	5.17	6.76	4.32	5.84
transcript5599.chr12.nnic	0.0	0.82	0.0	0.0	0.18	0.82	0.6	0.0
transcript5630.chr12.nic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript4142.chr12.nic	2.29	2.59	5.24	4.09	4.73	3.03	3.44	5.06
transcript4148.chr12.nnic	1.06	2.76	1.32	3.85	3.04	3.15	2.45	2.0
transcript4158.chr12.nnic	0.66	0.46	1.04	0.0	0.9	0.0	0.0	0.74
transcript4163.chr12.nnic	0.73	6.03	4.55	2.66	3.23	5.35	3.0	4.65
transcript4342.chr12.nnic	0.51	0.18	0.0	0.0	0.0	0.0	0.0	0.0
transcript4316.chr12.nic	1.84	1.56	1.43	0.0	0.0	0.0	2.32	0.0
transcript4531.chr12.nnic	0.37	0.54	0.18	0.0	0.71	0.0	0.0	0.5
transcript4645.chr12.nnic	0.0	0.77	0.0	0.33	1.03	0.0	0.0	0.0
transcript6309.chr12.nnic	2.78	3.3	3.26	3.17	2.93	1.29	1.16	3.19
transcript6340.chr12.nic	0.0	0.42	0.0	0.33	1.83	1.53	0.23	0.0
transcript6346.chr12.nnic	2.49	3.84	5.27	4.02	3.85	2.73	5.14	5.18
transcript6360.chr12.nic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript6383.chr12.nic	85.92	89.63	76.11	74.78	76.11	78.05	77.93	94.32
transcript6721.chr12.nic	1.15	2.17	2.25	1.92	2.05	2.19	2.91	1.6
transcript6552.chr12.nic	219.66	201.0	206.52	204.59	234.77	233.85	229.99	217.06
transcript505.chr13.nic	0.27	0.04	0.09	0.1	0.05	0.22	0.29	0.12
transcript510.chr13.nic	2.29	1.16	1.77	1.36	1.61	2.49	1.38	1.63
transcript437.chr13.nic	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0
transcript406.chr13.nic	0.0	0.0	0.0	0.0	0.0	3.82	1.85	0.0
transcript791.chr13.nic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34
transcript990.chr13.nnic	1.75	0.99	0.0	0.34	1.96	1.22	0.28	0.75
transcript991.chr13.nnic	0.65	0.19	1.42	0.37	0.27	0.53	0.66	0.68
transcript993.chr13.nnic	1.94	1.6	2.09	3.84	0.0	1.02	3.63	1.26
transcript1160.chr13.nnic	1.56	6.16	5.3	4.39	7.22	2.93	2.88	4.76
transcript1637.chr13.nnic	19.81	17.93	17.78	17.86	21.93	18.21	23.49	17.46
transcript1652.chr13.nnic	3.92	1.1	1.86	0.0	1.79	2.12	4.2	1.81
transcript1675.chr13.nnic	13.61	12.92	16.33	18.1	12.01	10.59	13.94	15.5
transcript1716.chr13.nic	4.2	5.09	4.15	4.15	4.0	4.99	7.0	5.58
transcript1763.chr13.nnic	2.71	0.56	0.0	0.5	2.16	0.65	2.27	0.62
transcript1828.chr13.nnic	0.15	0.0	0.26	0.17	0.17	0.0	0.0	0.0
transcript1948.chr13.nnic	0.0	0.0	0.0	0.8	1.41	0.29	0.0	0.05
transcript1973.chr13.nic	3.21	2.95	1.06	2.49	3.7	4.66	0.0	0.44
transcript2152.chr13.nnic	6.58	4.46	6.23	3.55	4.44	3.39	5.45	6.71
transcript2290.chr13.nnic	4.64	3.26	2.78	1.29	0.54	3.43	1.71	3.31
transcript2291.chr13.nnic	5.45	3.48	2.65	1.68	1.72	1.71	4.28	3.48
transcript1198.chr13.nnic	0.0	10.62	1.67	7.48	0.67	6.32	0.7	0.0
transcript1374.chr13.nnic	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0
transcript1377.chr13.nic	2.38	2.74	1.64	1.08	0.79	1.53	1.22	2.99
transcript1380.chr13.nic	4.75	4.83	7.96	7.43	10.3	6.68	7.64	6.23
transcript1382.chr13.nnic	0.59	0.0	0.0	2.01	0.0	0.0	2.4	0.0
transcript1405.chr13.nic	4.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript1406.chr13.nic	0.75	0.65	1.87	0.73	1.18	2.23	0.89	1.08
transcript1445.chr13.nic	0.0	0.0	0.0	0.0	2.42	0.0	0.0	0.0
transcript1584.chr13.nnic	0.0	0.49	0.28	1.27	0.0	0.0	0.0	1.15
transcript1594.chr13.nic	6.39	5.8	4.19	2.49	4.89	3.49	3.14	3.07
transcript2342.chr13.nnic	0.3	0.0	0.9	1.22	0.0	0.25	1.2	0.0
transcript2343.chr13.nic	0.0	0.0	0.84	0.0	0.0	1.98	0.0	0.0
transcript2352.chr13.nic	1.69	3.8	0.0	1.32	1.19	0.0	2.02	1.53
transcript3566.chr13.nic	2.18	2.74	2.17	0.0	3.31	0.54	1.44	4.07
transcript3665.chr13.nnic	5.65	3.48	4.03	4.37	5.36	7.25	3.61	5.03
transcript2407.chr13.nnic	7.2	6.95	3.55	4.45	16.49	6.55	5.54	11.77
transcript3590.chr13.nnic	1.86	0.0	1.19	1.89	1.32	0.0	0.0	1.34
transcript3616.chr13.nic	2.1	3.37	1.69	0.86	1.69	0.0	0.91	3.26
transcript3731.chr13.nnic	0.92	1.45	2.05	1.25	0.7	2.08	1.76	1.74
transcript2450.chr13.nnic	2.46	3.32	2.9	1.76	2.86	1.98	1.66	2.89
transcript2790.chr13.nic	3.25	4.97	3.64	4.6	3.24	6.06	3.67	3.06
transcript3816.chr13.nic	6.76	6.98	6.98	6.71	5.87	6.67	4.74	5.07
transcript3823.chr13.nic	0.23	0.2	1.2	0.56	1.33	0.03	1.75	1.04
transcript2824.chr13.nic	0.0	0.58	0.0	0.1	0.0	0.0	0.0	0.1
transcript2970.chr13.nic	15.06	7.98	5.9	11.39	5.74	6.24	6.41	7.07
transcript2989.chr13.nic	3.61	0.0	0.46	1.02	5.17	1.69	2.79	1.17
transcript3070.chr13.nnic	0.56	0.72	1.49	0.73	0.26	0.71	0.0	2.5
transcript3072.chr13.nnic	1.59	1.3	0.78	3.26	3.5	5.83	5.79	4.18
transcript3078.chr13.nnic	0.55	0.0	0.0	0.0	0.0	0.0	0.89	0.0
transcript3051.chr13.nnic	4.0	1.61	0.99	1.87	1.23	0.89	0.32	1.24
transcript3023.chr13.nnic	0.98	2.29	1.69	1.75	0.88	1.92	1.54	2.3
transcript3027.chr13.nnic	0.0	0.93	0.0	0.56	0.0	0.79	0.0	0.0
transcript3877.chr13.nic	0.53	0.66	0.66	1.94	1.39	2.53	4.19	4.01
transcript4058.chr13.nic	0.0	0.0	1.15	0.0	0.0	0.0	0.0	0.0
transcript3216.chr13.nic	0.44	2.31	0.78	0.95	0.75	2.1	0.97	2.07
transcript3221.chr13.nnic	0.35	0.0	0.55	0.38	0.0	0.0	0.31	0.74
transcript3222.chr13.nic	4.73	6.07	4.39	2.84	3.02	4.6	3.39	5.7
transcript3376.chr13.nic	31.13	35.11	32.63	29.14	34.88	30.75	32.29	33.73
transcript3387.chr13.nnic	0.37	1.75	0.49	0.0	0.37	0.0	0.11	0.0
transcript3321.chr13.nic	93.65	88.76	87.52	89.72	90.72	92.58	82.31	99.47
transcript3343.chr13.nic	7.81	5.05	10.21	11.45	7.35	7.0	8.6	6.87
transcript4184.chr13.nnic	2.63	1.36	1.27	1.49	0.91	1.79	3.53	2.24
transcript4191.chr13.nnic	2.48	5.63	3.39	3.0	7.21	4.24	1.89	2.38
transcript4480.chr13.nnic	17.85	22.36	25.0	21.56	23.89	24.68	20.56	23.78
transcript4489.chr13.nnic	0.55	0.94	1.65	0.66	0.79	0.74	0.38	1.14
transcript4529.chr13.nnic	0.84	1.07	0.94	1.4	1.2	0.57	1.29	0.51
transcript4576.chr13.nnic	3.27	2.33	2.16	2.77	4.35	1.5	3.5	1.05
transcript4583.chr13.nic	16.29	15.58	16.48	15.06	15.27	16.23	22.5	15.93
transcript4602.chr13.nnic	0.19	0.72	1.25	1.12	0.73	0.27	0.61	1.39
transcript4157.chr13.nnic	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0
transcript4839.chr13.nic	1.61	0.0	1.09	0.31	0.51	0.0	0.0	0.0
transcript4882.chr13.nnic	3.87	1.76	0.92	2.11	2.22	1.47	2.57	3.3
transcript4891.chr13.nnic	1.66	0.21	0.72	1.58	0.17	1.91	0.9	2.18
transcript4957.chr13.nic	1.02	0.83	0.0	1.21	2.2	0.0	1.22	2.33
transcript5675.chr13.nnic	0.59	1.71	0.0	0.41	0.0	0.92	0.55	2.24
transcript5687.chr13.nnic	6.38	1.32	2.23	3.02	3.89	2.32	7.39	0.0
transcript5620.chr13.nnic	5.39	3.2	2.76	5.1	4.69	3.54	4.49	2.53
transcript5613.chr13.nnic	0.05	1.56	1.14	0.36	0.0	0.0	0.73	0.22
transcript5580.chr13.nic	0.0	0.0	0.35	0.94	0.0	0.71	2.46	2.03
transcript5583.chr13.nic	19.06	20.92	19.93	17.86	23.61	19.47	20.49	18.58
transcript5545.chr13.nnic	0.84	0.0	0.45	2.38	0.0	0.33	0.0	0.0
transcript5399.chr13.nnic	5.19	6.19	3.54	2.1	5.16	3.03	5.46	6.9
transcript5300.chr13.nnic	0.77	0.99	0.26	0.21	1.07	1.55	0.27	0.0
transcript5307.chr13.nic	0.0	1.11	0.0	0.39	0.0	0.0	0.0	1.13
transcript5107.chr13.nic	3.45	0.98	2.38	1.44	0.32	0.81	5.07	0.17
transcript5109.chr13.nic	0.0	0.38	0.29	0.28	0.92	0.0	0.41	2.6
transcript5131.chr13.nnic	1.58	1.44	0.99	0.73	2.5	0.87	1.21	1.74
transcript5955.chr13.nic	42.11	45.97	35.27	40.76	38.45	38.11	40.92	38.54
transcript6004.chr13.nic	2.73	1.85	0.0	0.0	0.0	0.0	0.0	0.0
transcript6013.chr13.nnic	0.62	0.0	0.0	0.0	0.0	0.0	0.87	0.0
transcript4996.chr13.nnic	1.26	0.61	0.0	0.0	0.0	3.33	0.0	1.37
transcript4979.chr13.nic	1.54	2.41	0.79	0.42	0.16	0.65	1.09	1.15
transcript5919.chr13.nnic	5.71	4.84	5.43	4.68	2.45	7.85	2.69	6.33
transcript6413.chr13.nnic	2.14	1.05	0.0	1.56	2.03	0.0	0.0	1.05
transcript6453.chr13.nnic	21.68	21.53	17.29	16.58	20.05	19.91	17.96	21.01
transcript160.chr14.nic	0.0	0.0	0.0	0.12	0.52	0.6	1.25	1.16
transcript141.chr14.nnic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript146.chr14.nnic	0.76	1.92	1.36	1.17	1.29	2.26	2.22	1.76
transcript153.chr14.nnic	0.86	0.98	1.13	0.75	1.45	0.6	1.01	0.61
transcript122.chr14.nnic	0.81	0.42	0.93	2.02	0.73	1.64	1.62	1.03
transcript6247.chr13.nnic	3.19	6.28	5.27	7.28	5.17	4.57	6.15	5.32
transcript6264.chr13.nnic	2.06	1.83	1.32	1.63	2.56	2.09	0.75	1.54
transcript6283.chr13.nnic	1.05	0.59	0.8	0.92	0.0	1.08	2.2	1.22
transcript345.chr14.nnic	0.13	0.09	0.0	0.0	0.0	0.0	0.1	0.03
transcript306.chr14.nnic	2.76	2.73	2.12	3.24	3.3	3.29	3.02	2.15
transcript2029.chr14.nic	5.36	7.63	3.73	3.89	9.89	6.98	3.87	4.4
transcript2042.chr14.nnic	0.0	0.0	0.0	0.0	1.41	0.59	0.0	0.0
transcript426.chr14.nnic	0.51	0.57	0.18	0.0	0.17	0.37	0.31	0.32
transcript496.chr14.nic	1.84	1.19	2.24	1.54	3.93	2.9	2.49	3.25
transcript506.chr14.nic	0.01	0.0	3.62	1.04	0.46	0.4	0.85	0.0
transcript574.chr14.nic	24.39	0.0	26.31	8.94	18.73	16.23	23.27	13.54
transcript604.chr14.nnic	87.04	89.32	79.51	82.58	86.96	88.18	73.25	83.86
transcript622.chr14.nnic	13.05	14.0	20.79	21.31	19.76	19.9	19.38	20.14
transcript742.chr14.nic	1.39	4.32	3.99	2.89	3.78	3.96	1.24	2.58
transcript752.chr14.nic	30.31	35.82	33.75	33.06	33.26	35.44	27.32	34.62
transcript755.chr14.nic	0.0	0.0	3.21	2.31	0.0	0.0	1.28	0.99
transcript825.chr14.nic	4.4	1.22	0.0	5.27	3.61	2.08	1.85	3.42
transcript827.chr14.nic	39.69	39.22	44.35	36.55	40.71	43.18	37.37	37.82
transcript2257.chr14.nnic	7.09	6.74	4.81	8.0	5.28	5.92	2.48	3.72
transcript2260.chr14.nic	21.52	21.52	22.36	19.66	27.1	21.62	25.71	21.51
transcript2439.chr14.nic	2.03	2.77	1.96	2.03	1.85	1.93	1.79	2.15
transcript2492.chr14.nic	16.38	17.51	16.15	12.2	18.65	17.61	17.07	16.18
transcript2507.chr14.nic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript2546.chr14.nic	11.57	13.84	14.33	14.1	12.96	7.81	13.56	12.68
transcript982.chr14.nnic	0.64	2.29	2.36	3.29	3.47	0.0	3.75	0.78
transcript1053.chr14.nic	7.45	7.81	7.77	8.94	6.72	8.37	7.97	7.48
transcript1728.chr14.nic	0.65	0.79	0.29	0.7	0.69	0.37	0.73	0.56
transcript1732.chr14.nnic	4.1	4.56	6.56	3.06	3.38	3.37	3.86	4.75
transcript1117.chr14.nnic	0.0	0.0	1.18	0.0	0.64	1.3	0.52	0.0
transcript1118.chr14.nnic	0.41	2.66	0.0	2.7	0.0	0.16	3.88	0.25
transcript1119.chr14.nnic	0.0	0.27	1.49	0.21	0.0	0.4	0.0	0.27
transcript1122.chr14.nic	2.44	2.92	4.14	3.6	3.31	2.74	3.35	2.6
transcript1123.chr14.nnic	2.18	3.88	0.47	0.0	0.86	0.47	0.91	0.0
transcript1643.chr14.nic	1.0	0.87	0.5	0.0	0.0	0.0	0.0	0.0
transcript1769.chr14.nic	0.0	3.56	1.95	3.48	3.48	0.0	0.0	3.33
transcript1775.chr14.nic	6.67	1.25	3.64	4.3	4.87	5.08	3.22	3.93
transcript1567.chr14.nnic	8.59	0.0	6.1	14.0	5.73	4.0	2.68	0.0
transcript1797.chr14.nic	2.27	0.0	1.0	0.0	0.0	0.0	0.0	0.0
transcript1800.chr14.nic	16.25	17.04	17.54	13.57	17.78	13.47	15.63	14.51
transcript1436.chr14.nnic	3.68	4.5	6.2	4.52	4.13	5.92	6.5	5.98
transcript1443.chr14.nnic	3.95	3.5	2.78	1.45	0.4	3.41	1.39	2.39
transcript1485.chr14.nic	11.06	10.87	9.59	10.28	11.07	8.7	10.5	10.79
transcript1471.chr14.nnic	2.62	3.27	7.78	8.26	4.98	1.75	9.39	4.91
transcript4395.chr14.nic	1.0	0.63	0.33	0.52	0.73	0.68	1.45	0.99
transcript3900.chr14.nnic	4.94	6.65	5.16	4.34	4.7	4.74	4.57	4.53
transcript3954.chr14.nnic	15.87	18.8	19.52	11.67	15.39	17.94	16.75	17.14
transcript1310.chr14.nic	76.24	80.5	74.49	76.05	75.64	71.29	77.21	83.7
transcript4056.chr14.nnic	1.46	1.87	0.0	0.36	0.0	2.94	2.95	1.83
transcript4691.chr14.nic	1.6	3.83	0.0	0.0	0.0	0.0	0.0	3.42
transcript4739.chr14.nic	21.5	23.02	19.58	20.89	19.67	16.31	16.35	10.55
transcript4744.chr14.nnic	1.57	1.07	0.57	3.97	1.04	1.77	2.31	3.57
transcript4165.chr14.nic	35.96	32.23	37.43	37.68	34.88	31.3	35.89	34.76
transcript4230.chr14.nic	2.03	3.01	1.66	2.57	2.69	2.6	1.46	2.39
transcript4301.chr14.nnic	0.0	0.34	0.14	0.0	0.0	0.48	0.13	0.09
transcript4275.chr14.nic	25.76	24.98	31.85	37.28	24.31	34.33	22.7	30.2
transcript4326.chr14.nnic	0.02	0.0	1.43	1.06	1.69	1.62	0.0	0.95
transcript1209.chr14.nnic	2.48	1.81	3.86	4.12	3.26	4.3	2.38	5.14
transcript6977.chr14.nnic	64.54	46.0	56.62	66.09	65.15	49.03	59.48	49.19
transcript7127.chr14.nic	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0
transcript7149.chr14.nic	0.25	3.29	1.84	0.0	0.68	1.9	2.32	1.04
transcript7153.chr14.nnic	4.01	2.96	1.93	3.69	1.63	3.06	4.41	0.97
transcript7477.chr14.nnic	1.75	2.14	0.64	0.4	1.66	1.06	1.08	1.69
transcript7392.chr14.nic	0.75	1.72	1.03	0.0	0.0	0.0	1.16	0.0
transcript7403.chr14.nnic	0.21	0.0	0.0	0.81	0.32	0.3	1.09	1.34
transcript4788.chr14.nnic	0.75	0.35	1.56	0.0	2.76	0.94	0.0	0.79
transcript4840.chr14.nic	0.44	0.95	1.31	0.22	0.32	0.55	0.45	0.65
transcript4863.chr14.nnic	0.0	1.24	0.35	1.63	0.0	0.94	0.0	0.0
transcript4944.chr14.nic	9.42	8.06	9.64	13.27	7.99	13.12	10.61	6.22
transcript4950.chr14.nnic	63.8	62.87	60.27	56.8	58.65	57.35	61.89	63.75
transcript6449.chr14.nic	0.0	0.0	1.47	0.0	0.31	0.0	0.0	1.17
transcript6470.chr14.nnic	5.46	4.66	5.64	3.2	3.22	4.21	5.83	5.12
transcript6477.chr14.nnic	8.46	2.0	6.93	1.8	7.16	6.29	4.81	4.26
transcript6483.chr14.nnic	0.88	0.9	1.77	2.78	0.7	1.65	4.61	2.0
transcript6485.chr14.nic	4.76	6.73	6.8	8.95	6.39	6.24	6.15	6.32
transcript6604.chr14.nnic	0.28	0.75	1.54	1.4	1.0	0.87	1.22	0.44
transcript6611.chr14.nnic	2.85	0.61	2.78	0.91	2.33	2.55	0.67	2.85
transcript6528.chr14.nnic	1.03	1.15	0.0	0.74	0.71	0.0	1.35	0.0
transcript6529.chr14.nic	1.22	2.08	1.35	1.75	0.66	1.16	0.92	0.4
transcript6613.chr14.nnic	33.39	46.41	35.26	37.31	34.87	37.54	47.57	37.13
transcript6619.chr14.nic	28.5	22.06	19.95	28.18	35.44	21.56	20.61	33.13
transcript6621.chr14.nnic	39.57	30.96	30.32	36.65	41.89	46.35	35.59	35.41
transcript6633.chr14.nic	3.62	3.75	4.49	3.16	4.8	3.05	2.24	1.71
transcript6634.chr14.nic	6.46	0.0	17.29	12.49	3.41	13.04	7.03	5.67
transcript6642.chr14.nic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript6689.chr14.nnic	15.77	15.53	16.23	17.23	15.98	15.28	16.53	19.86
transcript6695.chr14.nnic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41
transcript6754.chr14.nnic	7.26	6.21	5.86	7.18	8.26	5.7	4.86	8.75
transcript6812.chr14.nic	4.77	5.81	7.43	6.3	10.3	1.2	2.51	10.43
transcript6817.chr14.nnic	0.58	0.75	1.33	0.96	0.88	1.24	1.66	0.5
transcript6826.chr14.nic	0.0	0.0	2.93	0.0	0.6	0.0	1.71	0.0
transcript6827.chr14.nnic	0.6	1.54	0.49	0.0	0.0	1.98	2.74	0.0
transcript7601.chr14.nnic	2.38	5.51	2.7	2.79	1.49	1.01	2.21	3.42
transcript7703.chr14.nic	3.76	5.14	0.0	5.27	3.66	4.78	3.32	2.56
transcript7690.chr14.nnic	1.74	1.9	1.07	1.34	1.05	0.99	1.19	0.92
transcript7655.chr14.nic	15.78	25.98	9.24	25.31	14.32	3.13	8.04	18.54
transcript7960.chr14.nnic	1.64	2.68	1.84	0.3	4.01	3.22	0.97	0.9
transcript7964.chr14.nnic	1.06	1.0	0.51	1.95	3.39	1.8	1.74	0.77
transcript8079.chr14.nic	24.99	23.23	20.26	16.29	31.2	35.28	20.97	32.81
transcript8097.chr14.nic	49.3	42.85	63.27	58.26	53.97	55.97	52.12	40.6
transcript229.chr15.nnic	0.09	0.25	0.0	0.0	0.0	0.0	0.1	0.0
transcript136.chr15.nic	1.94	0.0	0.0	1.2	0.58	1.77	1.29	1.28
transcript114.chr15.nic	1.65	5.55	0.0	0.0	3.11	1.57	4.94	4.51
transcript3016.chr14.nic	0.0	0.0	0.46	0.37	2.11	0.0	0.24	0.62
transcript3017.chr14.nic	1.74	3.47	0.34	1.61	0.83	1.38	0.51	1.26
transcript3210.chr14.nic	1.05	1.66	1.75	2.15	0.78	2.69	1.64	1.77
transcript3250.chr14.nic	18.48	18.42	22.25	15.27	13.91	17.56	20.56	18.14
transcript3277.chr14.nnic	7.37	14.21	14.36	14.63	16.58	12.57	17.68	8.15
transcript470.chr15.nnic	4.89	5.1	3.9	1.68	6.26	6.54	5.75	5.2
transcript414.chr15.nic	1.53	2.92	2.91	1.93	2.2	1.82	0.96	2.35
transcript417.chr15.nnic	0.01	0.34	0.49	0.26	0.69	0.26	0.48	0.17
transcript346.chr15.nic	1.56	4.26	3.17	2.12	1.12	3.71	3.48	4.19
transcript3522.chr14.nic	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript3477.chr14.nic	6.97	6.99	8.49	9.28	8.92	7.81	7.96	10.26
transcript3500.chr14.nnic	13.33	8.65	13.61	18.53	16.93	17.19	17.19	13.15
transcript3804.chr14.nic	0.0	0.05	0.0	0.89	0.0	0.92	0.0	0.23
transcript3848.chr14.nic	0.0	0.0	0.0	3.76	0.0	0.0	4.08	5.32
transcript3857.chr14.nic	7.62	5.26	5.76	1.67	5.71	5.03	2.95	2.08
transcript817.chr13.nnic	3.44	5.09	7.68	6.81	9.4	11.67	8.73	7.18
transcript282.chr15.nic	0.66	4.24	1.64	1.37	3.08	2.74	2.32	3.91
transcript273.chr15.nnic	4.7	0.0	3.65	2.83	1.98	3.47	2.79	1.37
transcript274.chr15.nnic	1.42	1.09	0.0	0.0	0.0	0.0	0.76	0.0
transcript279.chr15.nic	0.84	0.0	0.0	0.0	0.0	0.6	0.0	0.0
transcript636.chr15.nic	17.77	19.08	18.97	23.69	20.51	20.0	19.74	18.5
transcript648.chr15.nic	0.59	0.55	0.09	0.77	0.19	0.55	0.29	0.17
transcript649.chr15.nic	0.0	0.0	0.3	0.0	0.0	0.53	0.0	0.0
transcript543.chr15.nic	7.64	8.16	9.23	7.08	8.7	6.96	8.79	7.43
transcript1408.chr15.nic	19.49	34.83	25.42	26.47	27.17	34.84	30.26	19.47
transcript1411.chr15.nic	0.0	0.0	2.9	0.0	0.0	0.0	3.01	2.91
transcript1416.chr15.nic	0.13	0.13	0.2	0.08	0.04	0.55	0.19	0.1
transcript1442.chr15.nic	29.34	30.65	36.16	37.81	22.5	32.51	41.45	44.13
transcript950.chr15.nic	3.16	3.84	3.07	4.39	2.1	5.32	3.29	2.61
transcript2393.chr15.nnic	9.44	14.35	8.03	6.77	7.93	10.88	17.25	2.85
transcript2380.chr15.nic	0.27	2.4	1.58	2.06	0.0	1.91	2.12	2.72
transcript1606.chr15.nnic	0.04	1.14	1.73	0.29	1.37	0.38	1.68	0.0
transcript1982.chr15.nic	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.93
transcript1928.chr15.nnic	4.87	4.99	4.77	2.33	2.87	3.47	3.22	6.65
transcript1901.chr15.nic	15.51	24.61	20.97	14.17	16.97	22.34	20.01	18.39
transcript1902.chr15.nnic	8.38	1.86	3.98	7.44	5.77	1.83	2.97	4.79
transcript1816.chr15.nic	2.72	1.14	1.79	0.89	0.0	2.48	1.27	1.77
transcript1821.chr15.nic	1.53	1.12	0.44	1.14	1.3	1.8	1.14	2.31
transcript2251.chr15.nnic	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0
transcript2256.chr15.nnic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript2090.chr15.nic	3.15	7.21	1.61	3.68	2.26	4.64	3.03	3.1
transcript2125.chr15.nic	0.72	2.43	1.12	2.0	0.59	1.89	1.47	1.35
transcript2155.chr15.nic	5.59	3.93	10.68	5.9	1.44	5.22	6.48	2.46
transcript2053.chr15.nic	0.56	2.82	1.98	0.5	3.09	2.12	1.97	0.07
transcript2055.chr15.nnic	2.97	4.88	0.49	2.42	1.56	1.33	1.13	2.03
transcript2065.chr15.nic	3.96	4.8	4.77	4.2	3.65	0.0	2.0	2.11
transcript2075.chr15.nnic	0.91	2.85	2.43	0.57	2.99	2.47	2.57	4.14
transcript2076.chr15.nnic	0.0	1.09	0.0	1.37	0.0	2.0	3.49	1.67
transcript2079.chr15.nnic	1.4	3.68	1.74	8.93	4.8	2.78	5.89	2.75
transcript2081.chr15.nnic	3.27	1.75	5.46	1.72	2.41	3.55	0.0	4.6
transcript5914.chr15.nic	0.0	0.28	0.49	0.0	0.39	0.0	0.37	0.4
transcript5957.chr15.nnic	2.18	3.19	3.48	1.26	2.17	2.02	3.62	1.76
transcript5966.chr15.nnic	0.65	1.34	0.19	0.16	0.4	0.27	0.77	0.72
